Model,Storage,Status,Quality,Price
IPHONE 12 PRO,128GB,locked,flawless,205.00
IPHONE 12 PRO,128GB,locked,good,177.00
IPHONE 12 PRO,128GB,locked,fair,121.00
IPHONE 12 PRO,128GB,locked,damaged,92
IPHONE 12 PRO,128GB,unlocked,flawless,214.00
IPHONE 12 PRO,128GB,unlocked,good,185.00
IPHONE 12 PRO,128GB,unlocked,fair,125.00
IPHONE 12 PRO,128GB,unlocked,damaged,93
IPHONE 12 PRO,256GB,locked,flawless,251.00
IPHONE 12 PRO,256GB,locked,good,219.00
IPHONE 12 PRO,256GB,locked,fair,161.00
IPHONE 12 PRO,256GB,locked,damaged,92
IPHONE 12 PRO,256GB,unlocked,flawless,260.00
IPHONE 12 PRO,256GB,unlocked,good,230.00
IPHONE 12 PRO,256GB,unlocked,fair,161.00
IPHONE 12 PRO,256GB,unlocked,damaged,93
IPHONE 12 PRO,512GB,locked,flawless,251.00
IPHONE 12 PRO,512GB,locked,good,219.00
IPHONE 12 PRO,512GB,locked,fair,161.00
IPHONE 12 PRO,512GB,locked,damaged,92
IPHONE 12 PRO,512GB,unlocked,flawless,260.00
IPHONE 12 PRO,512GB,unlocked,good,236.00
IPHONE 12 PRO,512GB,unlocked,fair,161.00
IPHONE 12 PRO,512GB,unlocked,damaged,112
IPHONE 12 PRO MAX,128GB,locked,flawless,259.00
IPHONE 12 PRO MAX,128GB,locked,good,224.00
IPHONE 12 PRO MAX,128GB,locked,fair,148.00
IPHONE 12 PRO MAX,128GB,locked,damaged,112
IPHONE 12 PRO MAX,128GB,unlocked,flawless,271.00
IPHONE 12 PRO MAX,128GB,unlocked,good,242.00
IPHONE 12 PRO MAX,128GB,unlocked,fair,166.00
IPHONE 12 PRO MAX,128GB,unlocked,damaged,112
IPHONE 12 PRO MAX,256GB,locked,flawless,301.00
IPHONE 12 PRO MAX,256GB,locked,good,241.00
IPHONE 12 PRO MAX,256GB,locked,fair,166.00
IPHONE 12 PRO MAX,256GB,locked,damaged,112
IPHONE 12 PRO MAX,256GB,unlocked,flawless,294.00
IPHONE 12 PRO MAX,256GB,unlocked,good,265.00
IPHONE 12 PRO MAX,256GB,unlocked,fair,186.00
IPHONE 12 PRO MAX,256GB,unlocked,damaged,122
IPHONE 12 PRO MAX,512GB,locked,flawless,320.00
IPHONE 12 PRO MAX,512GB,locked,good,273.00
IPHONE 12 PRO MAX,512GB,locked,fair,181.00
IPHONE 12 PRO MAX,512GB,locked,damaged,112
IPHONE 12 PRO MAX,512GB,unlocked,flawless,312.00
IPHONE 12 PRO MAX,512GB,unlocked,good,287.00
IPHONE 12 PRO MAX,512GB,unlocked,fair,201.00
IPHONE 12 PRO MAX,512GB,unlocked,damaged,142
IPHONE 13,128GB,locked,flawless,232.00
IPHONE 13,128GB,locked,good,185.00
IPHONE 13,128GB,locked,fair,111.00
IPHONE 13,128GB,locked,damaged,58
IPHONE 13,128GB,unlocked,flawless,235.00
IPHONE 13,128GB,unlocked,good,203.00
IPHONE 13,128GB,unlocked,fair,122.00
IPHONE 13,128GB,unlocked,damaged,73
IPHONE 13,256GB,locked,flawless,301.00
IPHONE 13,256GB,locked,good,255.00
IPHONE 13,256GB,locked,fair,155.00
IPHONE 13,256GB,locked,damaged,63
IPHONE 13,256GB,unlocked,flawless,476.00
IPHONE 13,256GB,unlocked,good,445.00
IPHONE 13,256GB,unlocked,fair,356.00
IPHONE 13,256GB,unlocked,damaged,156
IPHONE 13,512GB,locked,flawless,336.00
IPHONE 13,512GB,locked,good,285.00
IPHONE 13,512GB,locked,fair,172.00
IPHONE 13,512GB,locked,damaged,83
IPHONE 13,512GB,unlocked,flawless,516.00
IPHONE 13,512GB,unlocked,good,485.00
IPHONE 13,512GB,unlocked,fair,391.00
IPHONE 13,512GB,unlocked,damaged,171
IPHONE 13 MINI,128GB,locked,flawless,158.00
IPHONE 13 MINI,128GB,locked,good,135.00
IPHONE 13 MINI,128GB,locked,fair,82.00
IPHONE 13 MINI,128GB,locked,damaged,57
IPHONE 13 MINI,128GB,unlocked,flawless,188.00
IPHONE 13 MINI,128GB,unlocked,good,167.00
IPHONE 13 MINI,128GB,unlocked,fair,106.00
IPHONE 13 MINI,128GB,unlocked,damaged,58
IPHONE 13 MINI,256GB,locked,flawless,190.00
IPHONE 13 MINI,256GB,locked,good,167.00
IPHONE 13 MINI,256GB,locked,fair,106.00
IPHONE 13 MINI,256GB,locked,damaged,77
IPHONE 13 MINI,256GB,unlocked,flawless,220.00
IPHONE 13 MINI,256GB,unlocked,good,199.00
IPHONE 13 MINI,256GB,unlocked,fair,146.00
IPHONE 13 MINI,256GB,unlocked,damaged,78
IPHONE 13 MINI,512GB,locked,flawless,212.00
IPHONE 13 MINI,512GB,locked,good,188.00
IPHONE 13 MINI,512GB,locked,fair,121.00
IPHONE 13 MINI,512GB,locked,damaged,97
IPHONE 13 MINI,512GB,unlocked,flawless,242.00
IPHONE 13 MINI,512GB,unlocked,good,220.00
IPHONE 13 MINI,512GB,unlocked,fair,161.00
IPHONE 13 MINI,512GB,unlocked,damaged,73
IPHONE 13 PRO,1TB,locked,flawless,383.00
IPHONE 13 PRO,1TB,locked,good,310.00
IPHONE 13 PRO,1TB,locked,fair,201.00
IPHONE 13 PRO,1TB,locked,damaged,133
IPHONE 13 PRO,1TB,unlocked,flawless,401.00
IPHONE 13 PRO,1TB,unlocked,good,367.00
IPHONE 13 PRO,1TB,unlocked,fair,226.00
IPHONE 13 PRO,1TB,unlocked,damaged,182
IPHONE 13 PRO,128GB,locked,flawless,302.00
IPHONE 13 PRO,128GB,locked,good,246.00
IPHONE 13 PRO,128GB,locked,fair,160.00
IPHONE 13 PRO,128GB,locked,damaged,77.67
IPHONE 13 PRO,128GB,unlocked,flawless,326.00
IPHONE 13 PRO,128GB,unlocked,good,279.00
IPHONE 13 PRO,128GB,unlocked,fair,169.00
IPHONE 13 PRO,128GB,unlocked,damaged,133
IPHONE 13 PRO,256GB,locked,flawless,344.00
IPHONE 13 PRO,256GB,locked,good,295.00
IPHONE 13 PRO,256GB,locked,fair,178.00
IPHONE 13 PRO,256GB,locked,damaged,132
IPHONE 13 PRO,256GB,unlocked,flawless,341.00
IPHONE 13 PRO,256GB,unlocked,good,311.00
IPHONE 13 PRO,256GB,unlocked,fair,191.00
IPHONE 13 PRO,256GB,unlocked,damaged,133
IPHONE 13 PRO,512GB,locked,flawless,366.00
IPHONE 13 PRO,512GB,locked,good,295.00
IPHONE 13 PRO,512GB,locked,fair,186.00
IPHONE 13 PRO,512GB,locked,damaged,132
IPHONE 13 PRO,512GB,unlocked,flawless,363.00
IPHONE 13 PRO,512GB,unlocked,good,321.00
IPHONE 13 PRO,512GB,unlocked,fair,211.00
IPHONE 13 PRO,512GB,unlocked,damaged,153
IPHONE 13 PRO MAX,1TB,locked,flawless,417.00
IPHONE 13 PRO MAX,1TB,locked,good,390.00
IPHONE 13 PRO MAX,1TB,locked,fair,281.00
IPHONE 13 PRO MAX,1TB,locked,damaged,238.33
IPHONE 13 PRO MAX,1TB,unlocked,flawless,417.00
IPHONE 13 PRO MAX,1TB,unlocked,good,390.00
IPHONE 13 PRO MAX,1TB,unlocked,fair,281.00
IPHONE 13 PRO MAX,1TB,unlocked,damaged,232
IPHONE 13 PRO MAX,128GB,locked,flawless,342.00
IPHONE 13 PRO MAX,128GB,locked,good,315.00
IPHONE 13 PRO MAX,128GB,locked,fair,206.00
IPHONE 13 PRO MAX,128GB,locked,damaged,137
IPHONE 13 PRO MAX,128GB,unlocked,flawless,342.00
IPHONE 13 PRO MAX,128GB,unlocked,good,315.00
IPHONE 13 PRO MAX,128GB,unlocked,fair,206.00
IPHONE 13 PRO MAX,128GB,unlocked,damaged,152
IPHONE 13 PRO MAX,256GB,locked,flawless,382.00
IPHONE 13 PRO MAX,256GB,locked,good,355.00
IPHONE 13 PRO MAX,256GB,locked,fair,246.00
IPHONE 13 PRO MAX,256GB,locked,damaged,140
IPHONE 13 PRO MAX,256GB,unlocked,flawless,382.00
IPHONE 13 PRO MAX,256GB,unlocked,good,355.00
IPHONE 13 PRO MAX,256GB,unlocked,fair,246.00
IPHONE 13 PRO MAX,256GB,unlocked,damaged,182
IPHONE 13 PRO MAX,512GB,locked,flawless,392.00
IPHONE 13 PRO MAX,512GB,locked,good,365.00
IPHONE 13 PRO MAX,512GB,locked,fair,256.00
IPHONE 13 PRO MAX,512GB,locked,damaged,187
IPHONE 13 PRO MAX,512GB,unlocked,flawless,392.00
IPHONE 13 PRO MAX,512GB,unlocked,good,365.00
IPHONE 13 PRO MAX,512GB,unlocked,fair,256.00
IPHONE 13 PRO MAX,512GB,unlocked,damaged,202
IPHONE 14,128GB,locked,flawless,192.00
IPHONE 14,128GB,locked,good,164.00
IPHONE 14,128GB,locked,fair,119.00
IPHONE 14,128GB,locked,damaged,73
IPHONE 14,128GB,unlocked,flawless,212.00
IPHONE 14,128GB,unlocked,good,198.00
IPHONE 14,128GB,unlocked,fair,148.00
IPHONE 14,128GB,unlocked,damaged,88
IPHONE 14,256GB,locked,flawless,212.00
IPHONE 14,256GB,locked,good,183.00
IPHONE 14,256GB,locked,fair,125.00
IPHONE 14,256GB,locked,damaged,108
IPHONE 14,256GB,unlocked,flawless,264.00
IPHONE 14,256GB,unlocked,good,230.00
IPHONE 14,256GB,unlocked,fair,176.00
IPHONE 14,256GB,unlocked,damaged,113
IPHONE 14,512GB,locked,flawless,261.00
IPHONE 14,512GB,locked,good,241.00
IPHONE 14,512GB,locked,fair,176.00
IPHONE 14,512GB,locked,damaged,113
IPHONE 14,512GB,unlocked,flawless,330.00
IPHONE 14,512GB,unlocked,good,278.00
IPHONE 14,512GB,unlocked,fair,196.00
IPHONE 14,512GB,unlocked,damaged,123
IPHONE 14 PLUS,128GB,locked,flawless,251.00
IPHONE 14 PLUS,128GB,locked,good,210.00
IPHONE 14 PLUS,128GB,locked,fair,151.00
IPHONE 14 PLUS,128GB,locked,damaged,139
IPHONE 14 PLUS,128GB,unlocked,flawless,290.00
IPHONE 14 PLUS,128GB,unlocked,good,247.00
IPHONE 14 PLUS,128GB,unlocked,fair,186.00
IPHONE 14 PLUS,128GB,unlocked,damaged,128
IPHONE 14 PLUS,256GB,locked,flawless,288.00
IPHONE 14 PLUS,256GB,locked,good,247.00
IPHONE 14 PLUS,256GB,locked,fair,176.00
IPHONE 14 PLUS,256GB,locked,damaged,150
IPHONE 14 PLUS,256GB,unlocked,flawless,321.00
IPHONE 14 PLUS,256GB,unlocked,good,279.00
IPHONE 14 PLUS,256GB,unlocked,fair,211.00
IPHONE 14 PLUS,256GB,unlocked,damaged,148
IPHONE 14 PLUS,512GB,locked,flawless,330.00
IPHONE 14 PLUS,512GB,locked,good,290.00
IPHONE 14 PLUS,512GB,locked,fair,211.00
IPHONE 14 PLUS,512GB,locked,damaged,160
IPHONE 14 PLUS,512GB,unlocked,flawless,341.00
IPHONE 14 PLUS,512GB,unlocked,good,311.00
IPHONE 14 PLUS,512GB,unlocked,fair,231.00
IPHONE 14 PLUS,512GB,unlocked,damaged,153
IPHONE 14 PRO,1TB,locked,flawless,392.00
IPHONE 14 PRO,1TB,locked,good,361.00
IPHONE 14 PRO,1TB,locked,fair,236.00
IPHONE 14 PRO,1TB,locked,damaged,217
IPHONE 14 PRO,1TB,unlocked,flawless,451.00
IPHONE 14 PRO,1TB,unlocked,good,421.00
IPHONE 14 PRO,1TB,unlocked,fair,315.00
IPHONE 14 PRO,1TB,unlocked,damaged,243
IPHONE 14 PRO,128GB,locked,flawless,301.00
IPHONE 14 PRO,128GB,locked,good,279.00
IPHONE 14 PRO,128GB,locked,fair,177.00
IPHONE 14 PRO,128GB,locked,damaged,162
IPHONE 14 PRO,128GB,unlocked,flawless,361.00
IPHONE 14 PRO,128GB,unlocked,good,336.00
IPHONE 14 PRO,128GB,unlocked,fair,226.00
IPHONE 14 PRO,128GB,unlocked,damaged,173
IPHONE 14 PRO,256GB,locked,flawless,337.00
IPHONE 14 PRO,256GB,locked,good,321.00
IPHONE 14 PRO,256GB,locked,fair,200.00
IPHONE 14 PRO,256GB,locked,damaged,187
IPHONE 14 PRO,256GB,unlocked,flawless,391.00
IPHONE 14 PRO,256GB,unlocked,good,361.00
IPHONE 14 PRO,256GB,unlocked,fair,256.00
IPHONE 14 PRO,256GB,unlocked,damaged,193
IPHONE 14 PRO,512GB,locked,flawless,357.00
IPHONE 14 PRO,512GB,locked,good,341.00
IPHONE 14 PRO,512GB,locked,fair,216.00
IPHONE 14 PRO,512GB,locked,damaged,197
IPHONE 14 PRO,512GB,unlocked,flawless,421.00
IPHONE 14 PRO,512GB,unlocked,good,399.00
IPHONE 14 PRO,512GB,unlocked,fair,296.00
IPHONE 14 PRO,512GB,unlocked,damaged,233
IPHONE 14 PRO MAX,1TB,locked,flawless,437.00
IPHONE 14 PRO MAX,1TB,locked,good,397.00
IPHONE 14 PRO MAX,1TB,locked,fair,301.00
IPHONE 14 PRO MAX,1TB,locked,damaged,254
IPHONE 14 PRO MAX,1TB,unlocked,flawless,501.00
IPHONE 14 PRO MAX,1TB,unlocked,good,471.00
IPHONE 14 PRO MAX,1TB,unlocked,fair,385.00
IPHONE 14 PRO MAX,1TB,unlocked,damaged,283
IPHONE 14 PRO MAX,128GB,locked,flawless,338.00
IPHONE 14 PRO MAX,128GB,locked,good,306.00
IPHONE 14 PRO MAX,128GB,locked,fair,221.00
IPHONE 14 PRO MAX,128GB,locked,damaged,185
IPHONE 14 PRO MAX,128GB,unlocked,flawless,421.00
IPHONE 14 PRO MAX,128GB,unlocked,good,391.00
IPHONE 14 PRO MAX,128GB,unlocked,fair,305.00
IPHONE 14 PRO MAX,128GB,unlocked,damaged,243
IPHONE 14 PRO MAX,256GB,locked,flawless,373.00
IPHONE 14 PRO MAX,256GB,locked,good,336.00
IPHONE 14 PRO MAX,256GB,locked,fair,256.00
IPHONE 14 PRO MAX,256GB,locked,damaged,205
IPHONE 14 PRO MAX,256GB,unlocked,flawless,451.00
