name,storage,lock_status,condition,price,amz
IPHONE 12 PRO,128GB,att,flawless,$204.00,$270.00
IPHONE 12 PRO,128GB,verizon,flawless,$204.00,$270.00
IPHONE 12 PRO,128GB,tmobile,flawless,$204.00,$270.00
IPHONE 12 PRO,128GB,att,good,$166.00,$270.00
IPHONE 12 PRO,128GB,verizon,good,$166.00,$270.00
IPHONE 12 PRO,128GB,tmobile,good,$166.00,$270.00
IPHONE 12 PRO,128GB,att,fair,$123.00,$270.00
IPHONE 12 PRO,128GB,verizon,fair,$123.00,$270.00
IPHONE 12 PRO,128GB,tmobile,fair,$123.00,$270.00
IPHONE 12 PRO,128GB,att,damaged,$56.00,$270.00
IPHONE 12 PRO,128GB,verizon,damaged,$56.00,$270.00
IPHONE 12 PRO,128GB,tmobile,damaged,$56.00,$270.00
IPHONE 12 PRO,128GB,unlocked,flawless,$214.00,$270.00
IPHONE 12 PRO,128GB,unlocked,good,$185.00,$270.00
IPHONE 12 PRO,128GB,unlocked,fair,$125.00,$270.00
IPHONE 12 PRO,128GB,unlocked,damaged,$92.00,$270.00
IPHONE 12 PRO,256GB,att,flawless,$251.00,$285.00
IPHONE 12 PRO,256GB,verizon,flawless,$251.00,$285.00
IPHONE 12 PRO,256GB,tmobile,flawless,$251.00,$285.00
IPHONE 12 PRO,256GB,att,good,$219.00,$285.00
IPHONE 12 PRO,256GB,verizon,good,$219.00,$285.00
IPHONE 12 PRO,256GB,tmobile,good,$219.00,$285.00
IPHONE 12 PRO,256GB,att,fair,$161.00,$285.00
IPHONE 12 PRO,256GB,verizon,fair,$161.00,$285.00
IPHONE 12 PRO,256GB,tmobile,fair,$161.00,$285.00
IPHONE 12 PRO,256GB,att,damaged,$91.00,$285.00
IPHONE 12 PRO,256GB,verizon,damaged,$91.00,$285.00
IPHONE 12 PRO,256GB,tmobile,damaged,$91.00,$285.00
IPHONE 12 PRO,256GB,unlocked,flawless,$260.00,$285.00
IPHONE 12 PRO,256GB,unlocked,good,$230.00,$285.00
IPHONE 12 PRO,256GB,unlocked,fair,$161.00,$285.00
IPHONE 12 PRO,256GB,unlocked,damaged,$92.00,$285.00
IPHONE 12 PRO,512GB,att,flawless,$251.00,$325.00
IPHONE 12 PRO,512GB,verizon,flawless,$251.00,$325.00
IPHONE 12 PRO,512GB,tmobile,flawless,$251.00,$325.00
IPHONE 12 PRO,512GB,att,good,$219.00,$325.00
IPHONE 12 PRO,512GB,verizon,good,$219.00,$325.00
IPHONE 12 PRO,512GB,tmobile,good,$219.00,$325.00
IPHONE 12 PRO,512GB,att,fair,$161.00,$325.00
IPHONE 12 PRO,512GB,verizon,fair,$161.00,$325.00
IPHONE 12 PRO,512GB,tmobile,fair,$161.00,$325.00
IPHONE 12 PRO,512GB,att,damaged,$91.00,$325.00
IPHONE 12 PRO,512GB,verizon,damaged,$91.00,$325.00
IPHONE 12 PRO,512GB,tmobile,damaged,$91.00,$325.00
IPHONE 12 PRO,512GB,unlocked,flawless,$260.00,$325.00
IPHONE 12 PRO,512GB,unlocked,good,$236.00,$325.00
IPHONE 12 PRO,512GB,unlocked,fair,$161.00,$325.00
IPHONE 12 PRO,512GB,unlocked,damaged,$111.00,$325.00
IPHONE 12 PRO MAX,128GB,att,flawless,$259.00,$325.00
IPHONE 12 PRO MAX,128GB,verizon,flawless,$259.00,$325.00
