Model,Storage,Status,Quality,Price
IPHONE 12 PRO,128GB,locked,flawless,205.00
IPHONE 12 PRO,128GB,locked,good,177
IPHONE 12 PRO,128GB,locked,fair,121
IPHONE 12 PRO,128GB,locked,damaged,91
IPHONE 12 PRO,128GB,unlocked,flawless,214.00
IPHONE 12 PRO,128GB,unlocked,good,185.00
IPHONE 12 PRO,128GB,unlocked,fair,125
IPHONE 12 PRO,128GB,unlocked,damaged,92
IPHONE 12 PRO,256GB,locked,flawless,251.00
IPHONE 12 PRO,256GB,locked,good,219
IPHONE 12 PRO,256GB,locked,fair,161
IPHONE 12 PRO,256GB,locked,damaged,91
IPHONE 12 PRO,256GB,unlocked,flawless,260.00
IPHONE 12 PRO,256GB,unlocked,good,230.00
IPHONE 12 PRO,256GB,unlocked,fair,161
IPHONE 12 PRO,256GB,unlocked,damaged,92
IPHONE 12 PRO,512GB,locked,flawless,251.00
IPHONE 12 PRO,512GB,locked,good,219
IPHONE 12 PRO,512GB,locked,fair,161
IPHONE 12 PRO,512GB,locked,damaged,91
IPHONE 12 PRO,512GB,unlocked,flawless,260.00
IPHONE 12 PRO,512GB,unlocked,good,236.00
IPHONE 12 PRO,512GB,unlocked,fair,161
IPHONE 12 PRO,512GB,unlocked,damaged,111
IPHONE 12 PRO MAX,128GB,locked,flawless,259.00
IPHONE 12 PRO MAX,128GB,locked,good,224.00
IPHONE 12 PRO MAX,128GB,locked,fair,148
IPHONE 12 PRO MAX,128GB,locked,damaged,111
IPHONE 12 PRO MAX,128GB,unlocked,flawless,271.00
IPHONE 12 PRO MAX,128GB,unlocked,good,242.00
IPHONE 12 PRO MAX,128GB,unlocked,fair,166
IPHONE 12 PRO MAX,128GB,unlocked,damaged,111
IPHONE 12 PRO MAX,256GB,locked,flawless,301.00
IPHONE 12 PRO MAX,256GB,locked,good,241
IPHONE 12 PRO MAX,256GB,locked,fair,166
IPHONE 12 PRO MAX,256GB,locked,damaged,111
IPHONE 12 PRO MAX,256GB,unlocked,flawless,294.00
IPHONE 12 PRO MAX,256GB,unlocked,good,265.00
IPHONE 12 PRO MAX,256GB,unlocked,fair,186
IPHONE 12 PRO MAX,256GB,unlocked,damaged,121
IPHONE 12 PRO MAX,512GB,locked,flawless,320.00
IPHONE 12 PRO MAX,512GB,locked,good,273.00
IPHONE 12 PRO MAX,512GB,locked,fair,181
IPHONE 12 PRO MAX,512GB,locked,damaged,111
IPHONE 12 PRO MAX,512GB,unlocked,flawless,312.00
IPHONE 12 PRO MAX,512GB,unlocked,good,287.00
IPHONE 12 PRO MAX,512GB,unlocked,fair,201
IPHONE 12 PRO MAX,512GB,unlocked,damaged,141
IPHONE 13,128GB,locked,flawless,232.00
IPHONE 13,128GB,locked,good,185.00
IPHONE 13,128GB,locked,fair,111
IPHONE 13,128GB,locked,damaged,57
IPHONE 13,128GB,unlocked,flawless,235.00
IPHONE 13,128GB,unlocked,good,203.00
IPHONE 13,128GB,unlocked,fair,122.00
IPHONE 13,128GB,unlocked,damaged,72
IPHONE 13,256GB,locked,flawless,301.00
IPHONE 13,256GB,locked,good,255.00
IPHONE 13,256GB,locked,fair,155.00
IPHONE 13,256GB,locked,damaged,62
IPHONE 13,256GB,unlocked,flawless,476.00
IPHONE 13,256GB,unlocked,good,445.00
IPHONE 13,256GB,unlocked,fair,356.00
IPHONE 13,256GB,unlocked,damaged,155.00
IPHONE 13,512GB,locked,flawless,336.00
